id,BHS27,BHS29,BHS33,BHS36,BHS40,BHS42,BHS53,BHS58,BIS1,BIS12,BIS2,BIS56,BIS59,BIS72,BIS9,ELK16,ELK17,ELK24,ELK48,ELK49,ELK54,ELK75,BLA20220921.D,BLA20220921.E,NEG20220928.ban,NEG20220928.sa,POS20220928.ban,POS20220928.sa
P1,40401,72749,46384,3,2,0,37,433,15860,22590,52149,4,0,2520,42532,24468,49734,67705,1260,43984,35,11,21,5,0,1,0,10
P2,1045,349,10,77,1346,988,5817,849,10095,33495,21665,10576,34399,2350,5035,4612,5569,60,4618,10222,8604,47518,0,0,0,2,0,13
P3,0,0,0,0,1,0,5,0,0,0,0,0,1,1,0,0,0,0,0,1,6,1,0,0,0,0,92009,80985
P4,2,21234,110,2419,0,0,73,1030,16718,21139,14210,338,12,21567,7987,35797,10586,8753,53,7385,1,6,1,0,0,1,0,1
P5,2469,75,20893,10400,203,110,10113,15104,504,733,0,50,135,3744,1101,67,84,83,9072,3650,25814,13,2,0,1,2,1,3
P6,12567,917,3285,23227,448,521,1414,1387,9285,1759,1652,782,1620,21234,7341,1026,5153,1062,386,1592,108,1680,2,0,0,0,0,0
P7,24,15,339,646,1487,2727,1401,65,53,201,0,12868,4632,104,267,31,2,436,13522,877,17933,19889,0,0,0,0,0,0
P8,10,5,3083,3829,54,173,5030,25879,85,54,0,10009,6112,216,171,0,101,3,623,514,204,47,1,1,0,17,0,0
P9,1389,0,50,135,16244,13500,7510,7,1,294,0,694,1425,125,0,0,0,30,0,54,2,521,0,0,0,0,0,0
P10,490,3,1234,2990,6566,2827,17042,611,274,442,54,0,3,134,66,8,225,37,268,2169,0,1756,2,0,0,0,0,0
P11,0,0,4,145,0,0,247,0,54,0,3,0,0,33,8074,0,388,0,133,10841,39,1,1,0,0,0,0,1
P12,5363,536,1988,1268,1235,343,88,143,1177,496,418,492,304,946,223,65,301,922,58,1032,0,2422,0,0,0,0,0,0
P13,1160,51,1118,4931,1847,398,872,147,1426,848,63,54,32,847,469,25,331,24,161,2583,23,436,0,0,0,0,0,0
P14,7987,47,0,39,0,56,2,54,3362,205,27,0,21,94,854,1181,2616,3,27,0,1,0,0,0,0,0,0,0
P15,2162,1,0,8,47,290,354,3,134,109,0,650,189,40,216,7,622,0,5344,555,2355,1624,0,0,0,0,0,0
P16,0,0,0,0,0,0,4,0,411,0,0,0,0,12228,1,0,7,0,0,0,0,0,4,0,0,0,0,0
P17,495,183,1368,2210,265,89,415,51,317,493,283,579,713,2369,541,60,160,145,114,937,1,0,0,0,0,0,0,0
P18,0,0,0,0,2373,0,404,8,0,0,0,0,0,0,0,0,0,0,0,0,0,7815,0,0,0,0,0,0
P19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5337,4811
P20,0,0,7,8131,27,0,878,58,0,0,0,71,99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
P21,0,0,16,333,1,0,292,0,0,0,0,0,0,0,0,0,0,23,7110,1011,2,0,0,0,1,0,0,0
P22,4442,23,0,20,0,26,2,29,1588,109,12,0,4,39,343,485,1246,0,27,0,0,0,0,0,0,0,0,0
P23,1010,10,64,564,258,74,257,46,887,203,74,151,66,1553,768,0,207,159,777,559,540,27,0,0,0,0,0,0
P24,852,0,3,782,355,130,127,9,253,27,0,2943,471,982,79,15,30,26,400,111,312,209,0,0,0,0,0,0
P25,1357,4,0,3,0,11,0,12,2254,62,2,0,17,60,764,917,1701,0,7,0,3,0,0,0,0,0,0,0
P26,1368,51,571,283,179,0,10,16,858,225,0,28,5,863,2329,23,58,0,0,0,0,0,0,0,0,0,0,0
